"","baseMean","logFC","lfcSE","stat","pvalue","FDR"
"ITGB2",729.030309002085,-0.0774556250376179,0.508716674046037,-0.152256902494626,0.878984315363241,0.923304492970406
"JCHAIN",28082.7164156509,-5.74729564837762,0.530134839098917,-10.8411959080947,2.19581646562839e-27,1.12138402440137e-25
"KIFC1",70.0634152597537,-1.73130904595215,0.705986235723163,-2.45232691283098,0.0141935646192558,0.0399722290879351
"LGALS4",1758.64875710374,-1.49668434543483,0.777343839493556,-1.92538265487501,0.0541815039272432,0.118633360529648
"LIPF",139839.135306297,-19.9861428554273,2.32905148506278,-8.58123703301841,9.38582476909067e-18,2.57158547700057e-16
"MFSD4A",1479.38628039107,-7.09879232132487,0.957897507930154,-7.41080570995962,NA,NA
"MMP2",1055.4162282633,-2.29819943070346,0.290137370026789,-7.92107349181273,2.35468705839433e-15,5.41074591795275e-14
"NCAPG",52.0392555436697,-1.16506142807054,0.593081142181277,-1.96442163678581,0.0494812156956794,0.110380044726864
"NCAPH",42.4196301395306,-1.87149686212153,0.511218705621984,-3.6608536454951,0.000251376326023108,0.00123686969367401
"PGC",111083.601505443,-19.654101905883,1.25072403261398,-15.7141794619606,1.20936785199299e-55,1.93212857164691e-53
"ST18",51.559825026822,-4.19987070907917,0.804384779504333,-5.22122100777088,1.77747258280097e-07,1.66911593408773e-06
"VILL",1081.56268950056,-7.13270219913084,0.659934296079054,-10.8082005155804,3.14784261042001e-27,1.59040039579874e-25
"PRPS2",576.216370072071,-0.0268807611622249,0.317105610446559,-0.0847691124870686,0.932444949792318,0.956971259075453
"POLR3D",158.338737004022,-0.734487012283122,0.355603385900739,-2.06546686956502,0.0388788471553809,0.0912900040704053
"POLE4",138.864699581995,0.510515557087224,0.394140149768638,1.29526402572004,0.195229164649245,0.322404916757326
"ADSL",105.297169400257,0.150909421206437,0.335065008940656,0.45038848336791,0.652430347608978,0.763585386784848
"AK2",1484.8927700242,0.855158231212052,0.218515199075907,3.91349542195913,9.09696259727672e-05,0.000504095806450921
"GART",539.28465355784,0.30212554064958,0.250358918003631,1.20676963720221,0.227520872247636,0.361266252070808
