SYMBOL	GSM1480291_LVirgin	GSM1480292_LVirgin	GSM1480293_LPregnant	GSM1480294_LPregnant	GSM1480295_LLactate	GSM1480296_LLactate	GSM1480297_BVirgin	GSM1480298_BVirgin	GSM1480299_BPregnant	GSM1480300_BPregnant	GSM1480301_BLactate	GSM1480302_BLactate
Zfp865	403	475	274	269	116	116	345	350	289	243	250	278
Zfp862-ps	171	180	144	106	91	103	285	240	311	301	293	273
Zfp85os	12	7	4	6	2	3	6	3	5	2	3	1
Zfp853	4	6	1	0	0	0	74	83	60	49	29	37
Zfp850	181	164	97	73	41	41	94	57	36	30	27	32
Zfp85	29	30	15	6	4	4	11	6	12	12	8	14
Zfp846	46	59	29	21	31	35	92	51	48	45	47	72
Zfp84	583	625	273	260	111	125	360	288	152	138	157	157
Zfp839	206	223	172	173	153	131	173	122	125	133	109	137
Zfp831	0	0	0	0	0	0	1	0	0	0	0	0
Zfp830	451	452	223	170	92	109	500	430	429	319	287	278
Zfp827	747	840	403	385	201	243	1402	1331	1618	1483	1644	1650
Zfp825	62	51	50	39	42	53	32	29	21	30	35	64
Zfp821	675	752	644	649	250	287	787	671	613	500	432	468
Zfp820	87	75	29	21	30	42	23	20	12	16	12	26
Zfp82	42	62	11	12	3	8	46	40	29	19	29	32
Zfp819	6	3	0	0	0	0	16	16	20	21	9	21
Zfp811	11	13	7	1	5	2	28	25	52	57	77	63
Zfp810	296	292	156	167	170	178	45	80	39	42	73	70
Zfp81	171	198	103	86	40	54	102	82	90	59	35	57
Zfp809	290	294	144	120	78	113	123	122	150	137	175	153
Zfp808	84	88	27	12	23	32	44	65	21	18	14	25
Zfp804b	9	4	2	4	0	0	1	1	0	1	1	1
Zfp804a	0	0	0	0	0	0	0	1	0	0	0	0
Zfp800	956	1115	889	708	260	299	920	875	625	510	406	363
Zfp799	159	176	39	32	45	48	49	64	51	48	54	44
Zfp791	93	75	41	22	89	97	155	70	46	40	63	83
Zfp790	124	130	83	78	115	91	176	107	69	72	114	166
Zfp788	187	172	114	91	51	83	213	179	235	199	268	285
Zfp787	541	590	393	334	114	89	502	423	412	344	317	272
Zfp786	12	14	8	7	5	2	5	5	2	1	4	2
Zfp784	68	101	48	38	14	29	72	66	51	58	55	97
Zfp783	56	52	26	15	7	23	77	46	39	33	15	10
Zfp781	6	10	1	0	1	2	14	7	7	5	3	3
Zfp780b	129	141	47	37	35	43	114	78	46	37	68	84
Zfp78	15	31	5	4	6	9	22	15	19	18	22	25
Zfp777	632	691	384	331	155	194	542	461	327	334	241	322
Zfp775	40	49	23	21	31	29	43	23	32	28	34	45
Zfp773	19	11	3	3	3	7	5	6	2	0	1	3
Zfp772	402	441	384	318	145	111	297	205	230	185	192	203
Zfp771	265	324	375	240	111	138	442	342	338	250	301	360
Zfp770	217	182	126	103	62	70	211	205	292	199	129	148
Zfp768	368	410	239	195	142	137	409	326	312	221	256	270
Zfp764	122	126	78	74	37	24	58	51	50	40	46	45
Zfp763	28	43	5	3	3	5	18	17	19	12	10	14
Zfp760	60	52	21	23	33	22	61	45	47	34	55	58
Zfp759	27	37	10	6	18	12	18	14	13	12	13	12
Zfp758	181	188	162	143	144	125	103	64	104	80	126	122
Zfp750	1292	1608	2434	2604	698	628	54	54	99	65	6	2
Zfp748	315	261	147	108	58	67	100	90	63	39	61	30
Zfp747	439	466	290	238	114	115	418	279	201	138	212	250
Zfp746	501	636	227	176	171	200	375	349	278	221	212	336
Zfp740	1940	2140	1476	1333	783	707	1855	1515	1946	1492	1686	1792
Zfp74	72	92	70	58	37	34	167	78	86	96	152	174
Zfp738	95	124	51	48	57	50	73	50	39	47	83	88
Zfp735	0	0	0	0	0	0	0	0	0	0	0	0
Zfp729b	349	336	169	185	123	109	161	98	74	82	96	140
Zfp729a	345	298	178	141	127	121	93	91	72	53	86	96
Zfp72	27	14	7	7	4	9	10	7	8	8	2	5
Zfp719	362	380	108	86	91	89	339	271	275	178	444	356
Zfp715	732	788	445	474	337	381	583	504	420	332	327	339
Zfp712	55	38	11	7	6	7	17	8	7	7	6	15
Zfp711	142	181	34	47	5	12	628	655	590	376	372	360
Zfp710	635	736	437	405	616	716	435	320	248	212	242	267
Zfp709	62	58	8	11	9	12	29	21	12	11	15	19
Zfp708	28	28	11	6	11	8	10	11	7	8	8	9
Zfp707	87	71	20	31	14	20	371	265	190	230	455	639
Zfp706	1782	1706	2277	1804	1247	1346	1279	1089	1241	1158	1023	943
Zfp704	2192	2341	764	806	253	231	1660	1902	1146	1054	1054	1012
Zfp703	2394	3754	6325	5523	935	988	5514	5490	3783	4077	4325	3674
Zfp7	587	557	519	553	184	162	465	359	287	197	273	302
Zfp697	93	99	66	83	36	49	28	34	32	32	43	26
Zfp692	1252	1339	1346	1111	670	850	632	438	454	393	227	288
Zfp691	84	98	76	66	48	80	45	58	53	60	49	52
Zfp69	60	62	73	65	40	36	120	111	114	93	55	69
Zfp689	38	54	17	12	15	17	73	65	40	41	44	46
Zfp688	67	64	16	9	18	19	18	30	10	20	12	36
Zfp687	834	872	608	530	373	351	459	456	463	416	305	360
Zfp68	642	649	488	399	210	180	420	376	368	278	381	443
Zfp677	83	64	18	39	16	16	75	51	27	29	49	110
Zfp672	393	481	224	213	166	152	231	256	206	223	252	270
Zfp668	158	199	118	115	55	43	172	116	88	57	53	79
Zfp667	257	295	207	150	93	108	151	126	111	77	109	142
Zfp664	8718	8145	2836	2124	1224	1249	3639	3510	2615	2377	2417	2155
Zfp663	0	1	0	0	0	0	1	1	0	0	0	0
Zfp661	94	112	70	92	73	74	57	52	69	72	59	57
Zfp658	40	22	8	9	7	11	52	17	14	13	24	27
Zfp655	2533	2764	1834	1454	612	521	4312	4497	5262	4744	4883	3777
Zfp654	844	854	520	488	242	302	887	833	782	596	463	399
Zfp653	302	345	285	229	88	108	452	333	362	326	260	328
Zfp652os	1	0	1	1	0	0	1	1	1	2	0	3
Zfp652	402	434	411	353	291	307	609	543	653	673	659	598
Zfp651	219	306	676	766	428	462	1187	1007	1440	1280	1413	1316
